id,month,n_seconds_1,n_seconds_2,n_seconds_3,carrier,devicebrand,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,target
76fd20fcbaa0a51f9dfe2f543,10,"2.832,548","318,272","77,382",TURK TELEKOM,HUAWEI,"-0,908","3,21","-0,576","-0,078","3,075","1,098","0,014","0,305","0,436","-4,807","-0,904","-1,059","3,785","-0,539","2,804","-2,113","-2,934","-2,816","0,377","-1,366","2,005","1,521","-0,74","0,02","-0,178","-0,235","0,841","-0,835","1,099","0,661","2,808","1,907","-1,496","-0,15","-0,339","-6,129","1,67","1,03","-1,15","0,204","0,108","-3,081","-1,998","1,323","1,054","1,618","-1,503","-2,121",3,45,"menu6, menu2, menu4"
c681e856cc5b9346b4ca51cd5,10,"2.820,07","412,616","84,897",VODAFONE TR,samsung,"-1,822","1,097","-1,198","1,273","2,789","2,599","0,315","0,915","1,705","-4,195","0,357","1,512","2,296","-1,891","2,778","-2,065","-1,669","-1,899","0,675","-1,189","1,387","3,596","0,006","-0,58","-0,893","0,803","2,175","-1,827","0,877","-0,418","0,47","1,568","-0,921","0,222","0,437","-5,956","0,503","1,248","-4,898","-1,561","0,636","-1,784","-2,662","1,213","1,073","2,4","-1,286","-1,999",1,61,"menu6, menu2, menu1"
ade41b8a4ab61144595f4bbb3,10,"2.812,165","200,059","79,96",TURKCELL,samsung,"-4,185","3,337","0,054","-0,401","2,354","2,537","-0,352","1,924","3,302","-4,18","0,412","1,32","1,591","-1,991","0,866","-1,875","-1,246","-2,897","1,877","-1,849","-0,266","1,335","1,781","-0,966","0,089","-0,111","2,895","0,494","-0,068","-1,607","0,894","1,541","-2,554","1,672","2,966","-4,237","0,769","-0,261","-2,705","-3,073","-0,544","-1,162","-2,19","0,224","-0,016","3,888","0,653","-3,777",14,41,"menu6, menu2, menu9"
26777587338a0987ffe4097b3,10,"2.744,897","81,926","77,707",TURKCELL,samsung,"-2,071","1,054","0,647","0,824","3,753","3,192","-1,075","0,997","2,383","-3,82","-0,804","0,747","2,903","-0,489","2,41","-1,815","-1,866","-1,435","0,131","-3,558","0,294","0,984","0,418","0,25","1,281","1,233","1,846","-2,306","-1,148","-1,652","-1,843","2,428","0,873","0,156","1,81","-5,616","0,679","2,517","-3,02","-2,292","0,655","-2,051","-2,31","1,001","0,28","1,421","-0,253","-1,937",34,70,"menu7, menu2, menu1"
d81fc3c3f8d6aa413da49a1db,10,"2.689,071","253,421","146,927",TURK TELEKOM,Redmi,"-1,384","1,037","-0,344","-0,4","3,142","3,138","1,776","1,458","0,92","-3,187","1,124","0,191","4,535","-0,482","1,911","-1,636","-0,229","-1,926","-0,144","-0,134","1,887","1,276","-0,63","-0,962","-0,343","0,086","0,917","-1,857","1,429","-0,961","0,599","2,109","-1,343","-0,486","0,166","-6,632","0,691","0,643","-2,86","-1,471","1,069","-2,58","-2,264","1,785","-0,756","2,291","-3,141","-2,338",13,58,"menu6, menu2, menu8"
d18a0916b5bb55996dd2414dd,10,"2.574,545","767,601","168,697",TURKCELL,samsung,"-0,988","2,776","-1,084","1,688","3,168","1,222","0,357","0,431","1,418","-4,987","0,76","0,425","2,28","-0,543","3,646","-3,659","-2,974","-1,98","0,383","-0,326","0,633","2,664","-0,59","-0,765","-0,506","-0,971","0,82","-1,711","1,348","-0,936","0,738","2,676","-0,088","0,346","0,483","-5,56","0,601","2,362","-2,741","-1,283","2,073","-2,262","-2,6","1,98","0,588","0,023","-1,74","-2,028",19,74,"menu6, menu2, menu1"
22eb833651ea1270f414ef2ce,10,"2.561,63","402,181","137,821",TURKCELL,samsung,"-1,493","2,477","1,343","0,36","2,719","2,509","1,114","0,809","1,474","-3,64","0,138","-1,024","2,938","0,449","2,4","-2,972","-1,345","-1,612","0,793","-2,416","2,18","-0,537","-0,242","-0,387","0,339","0,712","1,114","-2,791","2,667","-1,427","-0,648","1,438","0,238","-0,832","0,062","-6,902","0,287","1,845","-2,698","-1,047","1,781","-1,297","-1,297","0,859","0,354","1,909","-1,388","-3,111",28,66,"menu6, menu2, menu8"
8f33c7d6defee46969231cd42,10,"2.546,675","1.989,825","255,942",TELEKOM.DE,samsung,"-2,044","3,014","-1,395","-0,028","3,996","2,635","1,203","0,315","1,045","-4,068","0,251","-1,42","1,503","-1,389","2,383","-2,814","-0,282","-2,813","-0,349","-1,089","0,045","1,973","0,86","0,659","-1,473","0,025","2,637","-0,673","-1,421","0,127","-0,436","2,45","-1,059","0,506","0,863","-5,196","2,257","0,451","-3,864","-3,511","1,101","-0,988","-1,451","1,513","0,276","1,929","1,744","-2,766",9,59,"menu2, menu1, menu4"
28985a027ef37f489983afdd7,10,"2.518,028","586,791","256,958",TURK TELEKOM,POCO,"-2,49","1,207","0,189","0,244","3,356","2,604","1,238","0,622","2,852","-3,848","0,915","2,476","2,671","-1,348","2,099","-2,222","-2,204","-3,665","-0,452","-0,883","0,719","1,867","-0,82","-1,096","1,508","-0,731","0,382","-0,459","-0,602","-1,346","0,602","2,171","-0,776","1,483","2,798","-6,304","-0,208","1,106","-1,39","-1,028","1,306","0,298","-0,964","0,132","-1,279","1,751","-3,443","-2,501",15,60,"menu2, menu4, menu5"
736c719d9425c022b4b276d9a,10,"2.505,643","585,502","181,148",VODAFONE TR,Apple,"-1,079","2,213","-0,471","0,678","2,159","1,859","-0,407","1,214","1,911","-4,945","0,001","-1,533","4,322","-1,329","2,245","-1,405","-1,212","-2,405","3,172","-0,985","0,609","1,393","-0,152","0,234","-1,876","-0,864","1,187","-1,065","1,725","0,087","0,499","2,777","0,164","-0,385","0,818","-5,92","0,716","2,367","-3,325","-1,775","0,131","-2,298","-2,122","1,218","-0,253","1,405","-1,311","-3,235",21,63,"menu2, menu1, menu4"
a01814c9b719bc49041721338,10,"2.489,772","523,878","126,424",TURKCELL,samsung,"-2,646","2,128","0,083","-0,449","2,457","2,213","0,529","1,437","0,942","-4,14","-0,489","-0,062","3,167","-0,796","2,72","-2,684","-1,845","-2,726","0,407","-3,072","1,539","0,816","0,501","0,581","0,427","-0,91","1,627","-1,861","-0,409","0,242","2,652","2,239","-0,196","1,419","1,211","-6,393","0,53","1,164","-2,667","-1,843","1,567","-1,76","-2,368","0,834","0,607","2,272","-1,537","-1,82",17,38,"menu9, menu2, menu4"
f7c5bf6ffbc03731ca377b0ef,10,"2.438,198","104,601","86,068",TURK TELEKOM,Apple,"-0,34","1,332","-0,833","-0,821","3,58","2,768","0,281","0,705","-0,201","-3,212","0,089","0,999","2,429","-2,25","3,792","-2,287","-2,271","-1,007","0,052","-0,637","0,753","2,419","-1,457","-0,826","0,222","-1,975","0,443","-1,721","1,339","-1,205","2,13","4,062","0,081","0,292","0,142","-5,648","1,147","-0,685","-2,268","-0,774","1,886","-1,005","-2,086","2,482","-0,081","0,14","-1,405","-2,93",12,33,"menu2, menu4, menu5"
5c7088e83833eea19de24f47d,10,"2.377,463","159,972","79,389",TURK TELEKOM,HUAWEI,"-2,468","2,104","0,581","-1,544","2,98","3,309","0,086","2,521","0,4","-3,301","-0,823","-1,064","2,376","-0,606","2,327","-2,83","-1,391","-1,81","-0,034","-2,855","1,39","1,236","-0,232","-1,951","1,508","3,465","3,001","-1,196","-0,149","-1,632","-1,897","1,58","-0,606","1,301","0,291","-5,451","2,444","0,703","-3,426","-1,452","0,657","0,313","-1,899","-1,084","1,108","1,69","1,222","-3,477",30,97,"menu6, menu2, menu9"
c0f592340b67c66eb30e5cefe,10,"2.349,701","364,632","63,957",TURK TELEKOM,OPPO,"-2,16","1,79","-0,916","-0,943","4,313","3,421","1,324","0,35","1,031","-3,875","0,151","-0,008","3,147","-1,19","2,96","-2,409","-1,388","-2,567","0,302","-2,473","1,849","0,716","-1,201","0,229","0,84","0,765","-0,14","-0,878","0,656","-1,432","-0,026","3,877","-0,467","1,057","-0,383","-5,937","0,791","0,689","-2,8","-1,157","1,451","-1,206","-1,011","0,315","0,081","0,666","-0,717","-2,303",13,44,"menu6, menu2, menu1"
8681f587cf649000806f983df,10,"2.334,973","301,349","118,092",TURKCELL,HUAWEI,"-2,803","2,906","-1,576","0,822","2,569","1,925","-0,177","-0,562","1,054","-6,086","-0,875","0,15","2,224","-1,331","2,645","-1,52","-4,42","-1,913","0,664","-1,548","1,021","2,113","0,521","0,582","1,214","-1,316","1,044","-0,492","0,267","-0,181","3,084","2,812","-1,21","1,293","1,124","-4,366","0,977","1,546","-2,546","-1,715","1,422","-1,876","-2,907","2,178","0,126","1,306","-0,73","-2,06",16,39,"menu6, menu2, menu5"
f38ead0db5d2ac49743ba22ac,10,"2.333,5","627,962","45,175",TURKCELL,HUAWEI,"-2,689","1,442","0,097","0,39","3,37","3,326","0,287","1,331","3,455","-4,057","0,273","1,479","2,832","-0,284","2,437","-2,441","-1,308","-2,921","-1,576","-1,632","1,313","1,675","-0,789","0,362","0,596","-0,191","0,456","-1,375","0,784","-1,723","0,931","1,574","-1,488","0,201","1,421","-6,262","1,209","0,653","-2,968","-1,486","2,133","-0,228","-1,262","0,701","-0,906","1,172","-1,973","-2,74",26,63,"menu6, menu2, menu1"
8ad8036806755c9d30e42a792,10,"2.309,905","755,621","562,839",TURKCELL,Apple,"-0,912","0,868","0,39","-0,769","3,485","2,171","2,007","-0,711","-0,062","-2,889","0,038","-1,614","2,794","-1,499","3,106","-2,913","-0,871","-2,224","-0,083","-2,182","1,558","0,359","-0,958","-0,807","0,433","0,696","2,502","-0,602","1,074","-0,132","1,159","2,503","-0,116","0,683","0,051","-6,55","0,425","0,442","-3,647","-1,677","2,032","-1,355","-0,935","0,605","1,901","2,094","-1,592","-2,655",12,46,"menu6, menu2, menu1"
545dcb31ab2d6245770eb5705,10,"2.298,909","408,598","142,247",TURKCELL,Apple,"-2,112","1,616","-0,145","-0,175","2,93","2,028","1,536","1,569","1,171","-5,564","0,814","0,207","3,343","-0,275","2,572","-2,32","-1,462","-0,942","0,519","-1,304","1,391","2,157","-0,288","-0,95","-0,32","-0,111","0,889","-1,237","1,049","-0,83","0,107","2,054","-1,177","0,874","1,252","-6,48","-0,14","2,079","-2,042","-1,217","1,809","-2,085","-2,047","1,184","-0,061","2,153","-1,676","-4,381",23,49,"menu6, menu2, menu1"
1a35a4a992a9b18a53849b8ae,10,"2.284,144","1.302,978","58,378",VODAFONE TR,samsung,"-2,333","0,718","0,133","-0,89","2,861","3,494","0,612","1,419","0,467","-3,028","-1,442","-1,502","3,799","-1,5","4,048","-2,167","-1,754","-2,624","1,49","-1,698","1,405","1,176","-2,331","0,704","0,77","0,676","1,349","-2,335","0,077","-1,21","1,304","2,559","0,028","0,795","0,056","-6,045","2,306","-0,651","-2,476","-0,026","0,503","-0,407","-1,589","0,658","0,549","-0,404","0,035","-2,09",32,80,"menu2, menu8, menu5"
24fcfc7ff9a565b128411fcd8,10,"2.247,145","457,254","187,598",TURK TELEKOM,samsung,"-1,972","4,294","-0,205","0,871","2,854","2,778","-0,617","0,672","2,855","-4,832","-0,471","1,246","1,241","-2,709","2,635","-0,516","-2,97","-1,675","-0,612","-2,698","-0,026","1,926","-0,883","0,66","1,981","-1,181","0,693","-2,081","0,445","-0,662","1,164","2,924","-0,945","1,628","1,295","-5,244","0,903","0,533","-2,748","-1,256","-0,118","-1,806","-2,855","1,123","0,378","0,544","0,234","-1,166",19,51,"menu9, menu3, menu6"
6b57913932e48af7c53d92185,10,"2.238,522","582,326","381,049",TURK TELEKOM,samsung,"-1,893","2,184","-0,437","0,512","3,442","2,698","0,256","-0,511","1,376","-3,686","-0,545","-0,151","2,504","-1,139","2,901","-2,774","-2,814","-1,555","0,325","-2,456","-0,071","1,184","-0,246","0,268","1,297","-0,629","2,229","-1,12","0,545","-1,016","0,414","3,199","-0,688","0,924","2,021","-6,352","0,071","1,342","-2,813","-1,161","0,9","-1,848","-2,065","0,957","0,832","1,813","-0,711","-2,151",30,56,"menu6, menu2, menu9"
5559c6678c9adba67909ced52,10,"2.231,661","70,817","47,051",VODAFONE TR,Sony,"-1,582","2,078","-0,585","0,272","3,545","3,224","1,145","-0,98","1,173","-2,976","-0,813","0,533","3,51","-0,504","3,097","-1,599","-1,746","-3,013","-0,574","-2,2","1,374","0,622","-0,933","-0,264","0,083","0,88","0,405","-2,074","0,42","-0,78","0,558","3,204","0,181","-0,081","0,986","-6,479","0,825","1,277","-3,165","-1,14","1,249","-1,447","-1,631","1,265","0,287","1,098","-0,75","-2,47",17,57,"menu9, menu2, menu4"
b54e3378b34ccc82f3644e827,10,"2.229,104","582,009","534,487",TURKCELL,samsung,"-2,101","2,402","-1,803","-0,59","1,645","1,009","0,405","1,33","1,142","-5,203","0,475","-0,391","3,822","-0,37","2,832","-2,88","-2,607","-1,942","1,246","-1,763","1,925","1,324","0,369","0,112","0,299","-0,622","1,87","-0,9","0,811","0,138","0,115","1,286","-1,115","0,912","2,43","-5,71","1,431","2,102","-3,191","-2,786","2,334","-1,449","-1,639","1,472","-0,202","1,89","-1,469","-2,596",33,60,"menu6, menu2, menu1"
303a6e2af1ec25b1f24cd7518,10,"2.227,165","440,478","333,719",VODAFONE TR,samsung,"0,515","1,913","0,248","-2,72","4,249","2,599","1,98","1,066","0,079","-4,162","-0,089","-0,635","3,351","1,528","1,696","-1,527","0,055","-1,54","-1,165","-1,207","3,209","1,672","-1,546","-0,229","0,181","0,978","0,972","-3,199","1,028","-0,149","0,07","0,766","-1,074","-0,036","0,659","-6,335","0,525","1,012","-1,495","-2,355","0,192","-2,5","0,087","0,992","-0,194","1,113","-2,182","-3,11",17,73,"menu6, menu2, menu5"
dbe9a927fabbb42d3300bfb40,10,"2.174,978","368,759","74,928",TURKCELL,Apple,"-1,288","1,041","0,371","-0,791","2,719","2,501","1,415","1,275","-0,063","-3,016","0,401","-0,297","3,409","-0,834","4,02","-3,274","-0,788","-2,016","0,899","-2,655","1,769","0,826","-1,007","-0,429","0,248","1,412","1,541","-1,259","0,933","-1,661","-0,823","2,436","-0,771","0,411","-0,863","-6,565","0,556","1,79","-3,956","0,07","1,181","-1,516","-0,127","0,353","0,988","1,196","-1,275","-2,334",19,38,"menu6, menu2, menu1"
2674c837d6df978408e6f7dd8,10,"2.142,438","68,746","49,829",TURKCELL,Apple,"-1,848","0,376","-0,417","-1,213","3,338","3,097","0,123","1,154","-0,489","-3,065","-0,16","-0,352","3,609","-1,546","3,258","-2,672","-0,299","-1,188","-0,424","-2,704","2,161","1,813","-0,383","-0,435","-0,316","0,629","2,023","-1,907","-0,208","-0,928","-1,026","3,348","-0,366","0,828","-0,741","-6,029","1,63","1,341","-3,758","-0,056","1,326","-0,892","-0,708","0,415","0,946","1,44","-1,437","-2,323",32,65,"menu6, menu2, menu5"
4e58e90d6a925849479f9a7f6,10,"2.138,201","300,38","112,334",VODAFONE TR,Apple,"-0,647","0,326","-2,495","-1,056","2,404","2,89","-1,013","2,485","2,461","-5,366","-1,171","-0,329","2,517","-1,506","2,667","-1,996","-1,422","-2,35","2,739","-1,646","-1,343","3,493","-1,118","-0,141","-0,89","1,319","0,605","3,785","-0,056","-0,035","0,029","1,412","0,631","-0,065","1,509","-4,484","3,744","0,405","-2,627","-1,458","0,194","-1,01","-1,106","0,021","-0,976","0,92","-1,492","-3,691",21,66,"menu6, menu2, menu9"
4755659818334dc6b116fcbc4,10,"2.123,269","500,945","180,156",VODAFONE TR,samsung,"-1,288","1,342","0,957","-2,289","2,811","1,794","0,1","1,547","-1,077","-3,411","-0,947","-1,961","2,231","0,392","3,456","-1,875","-1,277","-0,602","1,762","-2,402","2,077","-0,309","-0,1","-1,746","0,675","1,261","2,163","-1,918","0,711","-1,74","-1,721","2,15","0,231","0,55","-0,671","-6,512","3,821","0,629","-2,789","-1,279","2,019","-0,05","0,207","-0,557","1,08","-0,004","-0,04","-2,693",34,86,"menu6, menu2, menu8"
be34b2b6279df4f1520dd3a18,10,"2.116,15","151,456","42,144",TURK TELEKOM,samsung,"-1,182","0,341","-1,823","0,071","2,541","3,79","1,539","0,873","1,23","-5,058","1,216","1,338","3,379","-1,465","2,261","-0,826","-2,901","-1,629","0,357","-0,783","-0,24","2,381","0,168","0,712","-0,463","-0,957","0,879","-1,233","-0,74","-0,231","1,085","2,322","-1,457","0,093","1,599","-5,927","0,466","1,858","-3,323","-1,142","0,322","-2,331","-2,196","3,118","-1,353","1,048","-1,109","-0,711",29,64,"menu6, menu2, menu4"
aebf2e1e00d33f2a612d3abc0,10,"2.111,187","219,528","95,605",VODAFONE TR,Apple,"-2,315","1,821","0,564","-1,388","3,64","2,755","0,224","-0,189","0,689","-2,731","-1,212","-0,555","2,695","-0,822","3,428","-2,239","-2,643","-2,262","-0,464","-3,31","1,496","0,338","-0,048","-0,102","0,689","0,162","3,288","-2,38","-0,32","-0,658","0,912","2,81","-1,173","1,012","0,9","-5,353","1,075","1,544","-3,234","-1,232","0,843","-1,438","-1,64","0,736","1,245","2,012","0,701","-2,793",25,73,"menu9, menu2, menu1"
3d477d7e06542835aaa7103a2,10,"2.105,254","499,524","473,613",TURK TELEKOM,samsung,"-2,205","1,411","-0,891","-0,544","3,552","1,873","0,898","0,726","-0,793","-3,522","-0,052","-2,023","3,332","0,042","3,012","-2,739","-2,583","-1,373","0,229","-3,111","1,742","0,299","-1,236","0,16","0,323","0,65","2,047","-1,944","1,28","-0,84","1,054","3,076","-0,442","0,325","0,558","-6,464","1,963","0,457","-2,426","-1,055","2,277","-1,243","0,125","0,163","0,082","0,46","0,238","-2,087",30,73,"menu6, menu2, menu1"
adf3aae229d475946862884a9,10,"2.089,285","168,137","150,496",VODAFONE TR,samsung,"-1,727","1,526","0,132","-1,456","3,632","2,019","1,591","-0,426","-0,226","-4,02","-0,668","-0,96","1,979","-0,232","3,434","-2,345","-1,165","-1,96","-0,106","-2,362","2,049","0,963","-1,487","0,218","0,418","0,908","1,204","-1,948","0,389","-0,779","0,872","3,249","-1,042","1,346","-1,601","-6,375","2,503","1,184","-2,904","-0,762","2,003","-1,503","0,297","-0,409","1,266","0,78","-0,714","-1,614",26,57,"menu2, menu1, menu5"
10ab81991a6f8f4d23f0418b1,10,"2.086,543","850,712","41,813",VODAFONE TR,OPPO,"-2,761","1,089","0,302","-0,457","5,061","2,762","0,491","-0,452","-0,587","-2,553","-0,872","-1,615","2,708","-1,718","3,425","-1,68","-1,302","-1,662","-0,963","-2,2","1,667","0,966","-1,188","-0,861","1,988","0,199","1,36","-1,159","-0,141","-1,803","1,007","3,335","-0,5","1,684","-0,785","-5,512","2,078",0,"-3,555","-0,066","1,787","-0,349","-1,967","-0,239","1,151","0,231","0,655","-2,011",18,41,"menu2, menu1, menu5"
1a3c9c896813b6db39da5c199,10,"2.029,292","819,379","183,257",TURKCELL,samsung,"-1,016","1,523","1,357","-0,579","4,073","2,804","1,338","0,687","0,927","-2,977","-0,55","-0,862","1,76","-0,648","3,149","-2,236","-1,264","-2,931","-1,35","-2,632","1,754","-0,06","-0,475","-0,732","1,588","0,482","0,281","-0,542","0,912","-1,023","0,551","3,116","-0,66","1,402","0,912","-6,689","0,875","0,577","-2,617","-0,613","1,959","-0,226","-0,545","0,659","0,414","0,516","-2,678","-3,65",29,53,"menu2, menu4, menu5"
38b43cb2adcd5e1f304a05c03,10,"2.026,58","284,427","77,66",TURKCELL,Redmi,"-1,051","2,501","-0,283","-2,104","3,43","1,725","2,962","-0,466","0,6","-5,149","0,362","0,122","3,924","1,298","3,004","-1,355","-1,063","-1,425","-0,27","-1,434","0,857","1,098","-0,066","1,039","0,44","-1,002","0,689","-1,055","1,435","0,028","1,006","1,197","-1,305","0,482","-0,352","-5,848","0,004","1,057","-2,947","-2,585","1,932","-2,603","-2,556","0,946","0,058","2,072","-1,602","-2,927",10,41,"menu6, menu4, menu1"
ea302e2c9776a8228ded00be2,10,"2.020,324","291,823","98,814",TURKCELL,samsung,"-1,406","1,817","-0,147","0,325","3,571","3,14","0,899","0,391","1,623","-4,696","0,353","0,403","3,54","-1,248","2,584","-2,105","-1,478","-2,448","-0,62","-1,418","1,275","1,893","-0,64","-0,958","-0,833","-0,789","-0,137","-1,741","-0,88","-1,501","-0,298","3,333","0,145","1,702","0,973","-6,245","0,641","1,431","-2,308","-1,346","2,655","-0,786","-2,111","0,828","0,7","0,434","-0,95","-1,622",21,43,"menu2, menu4, menu5"
32b2b3371eb2452938e3ad411,10,"2.020,056","691,664","98,314",TURKCELL,Apple,"-2,509","1,893","-1,005","-0,346","4,002","1,898","1,034","0,459","2,05","-3,059","-0,362","-0,362","2,653","-1,242","3,608","-1,74","-1,882","-1,493","-0,817","-2,38","1,379","-0,377","0,436","0,044","0,483","0,041","1,422","-2,382","0,401","-1,321","1,546","2,604","0,39","1,181","0,683","-6,918","0,442","0,757","-2,314","-1,862","1,73","-0,222","-2,216","0,997","0,179","1,653","-0,889","-2,01",30,56,"menu3, menu2, menu4"
